Model,subclass,n,Accuracy,Predicted_Fake_Rate
GPT-4o-mini (zero-shot),HF,699,0.47353361945636624,0.47353361945636624
GPT-4o-mini (zero-shot),MF,699,0.5221745350500715,0.5221745350500715
GPT-4o-mini (zero-shot),HR,699,0.9084406294706724,0.09155937052932761
GPT-4o-mini (zero-shot),MR,699,0.84406294706723894,0.15593705293276108
GPT-4o-mini (8-shot),HF,699,0.6280400572246065,0.6280400572246065
GPT-4o-mini (8-shot),MF,699,0.7424892703862661,0.7424892703862661
GPT-4o-mini (8-shot),HR,699,0.7410586552217453,0.25894134477825465
GPT-4o-mini (8-shot),MR,699,0.7124463519313304,0.2875536480686695
Claude Haiku 4.5 (zero-shot),HF,699,0.5021459227467812,0.5021459227467812
Claude Haiku 4.5 (zero-shot),MF,699,0.776824034334764,0.776824034334764
Claude Haiku 4.5 (zero-shot),HR,699,0.8755364806866953,0.12446351931330472
Claude Haiku 4.5 (zero-shot),MR,699,0.7024320457796852,0.29756795422031473
Claude Haiku 4.5 (8-shot),HF,699,0.5021459227467812,0.5021459227467812
Claude Haiku 4.5 (8-shot),MF,699,0.84406294706723894,0.84406294706723894
Claude Haiku 4.5 (8-shot),HR,699,0.876967095851216,0.12303290414878398
Claude Haiku 4.5 (8-shot),MR,699,0.698140200286123,0.30185979971387694
Gemini 2.5 Flash (zero-shot),HF,699,0.17024320457796852,0.17024320457796852
Gemini 2.5 Flash (zero-shot),MF,699,0.6623748211731044,0.6623748211731044
Gemini 2.5 Flash (zero-shot),HR,699,0.977110157367668,0.022889842632331903
Gemini 2.5 Flash (zero-shot),MR,699,0.9041487839771102,0.09585121602288985
Gemini 2.5 Flash (8-shot),HF,699,0.35765379113018597,0.35765379113018597
Gemini 2.5 Flash (8-shot),MF,699,0.765379113018598,0.765379113018598
Gemini 2.5 Flash (8-shot),HR,699,0.9484978540772532,0.05150214592274678
Gemini 2.5 Flash (8-shot),MR,699,0.8798283261802575,0.12017167381974249
